followers,average_views,average_interactions,posting_frequency,revenue
36196,16322,4773,22,4355
19182,7601,1329,21,3304
42095,15945,2505,6,2568
101015,38486,10534,6,5087
17428,4248,614,23,3248
17428,3789,1108,16,2574
106853,45278,4637,4,4696
47450,20120,5914,11,3671
13773,6154,668,24,3412
37894,17631,4905,23,4550
13857,4219,867,9,1836
13825,4155,1240,23,3270
28056,11764,1350,3,1803
3251,1170,246,19,2515
3924,1494,439,8,1457
12552,5250,1074,5,1495
7999,3647,823,4,1244
30159,7093,1696,24,3725
8883,2222,424,6,1342
5365,738,166,2,807
95382,31601,6853,20,5719
17574,2010,563,28,3632
23565,6745,735,11,2246
5298,1679,262,4,1063
12779,2742,795,15,2344
24610,8277,2301,6,1990
6967,781,149,22,2823
32070,3686,825,17,2787
12080,5182,805,24,3360
16453,4015,552,6,1520
12067,1819,350,19,2646
140403,43370,7401,25,7312
21731,8866,1921,2,1552
7648,1425,164,15,2164
50138,17505,5161,11,3492
6497,871,258,8,1434
27142,3275,784,26,3613
3103,969,200,19,2499
5836,1845,298,13,1980
26818,9519,2501,12,2694
46095,17997,4264,5,2787
26143,12818,1698,6,2172
19620,6013,1696,26,3766
16299,3735,987,22,3148
5021,2099,608,4,1115
10723,2233,547,19,2673
13896,3829,852,20,2915
63393,8328,1529,1,1803
31058,3420,979,20,3079
3778,1832,500,17,2379
30457,13230,1442,12,2810
14986,5670,596,15,2492
11193,2950,517,1,911
40606,6875,1802,26,4030
61759,10040,2986,14,3318
55897,11184,1454,6,2363
9516,3042,665,5,1313
16167,6237,1098,11,2183
30676,11168,3283,4,2093
58427,12384,3324,13,3335
13640,6573,1759,11,2240
18294,7229,1400,3,1484
7285,2343,428,1,832
6659,2295,354,6,1316
49638,13295,1479,18,3609
85497,17021,4645,24,5070
20496,4968,1304,10,2083
60086,24222,7265,5,3538
31622,3344,1000,23,3383
11555,1691,356,10,1735
31615,3743,949,12,2298
102542,11924,3445,2,2666
21251,9396,2536,13,2735
105307,40170,6004,8,4961
1603,464,88,2,748
50106,6971,877,20,3437
24029,7128,2072,1,1403
16333,4726,1045,5,1504
24143,4086,595,9,1905
3018,825,193,17,2290
17682,4586,1025,9,1908
31480,10902,1871,11,2647
96557,34184,4194,15,5094
13117,1549,362,24,3144
9813,2451,500,6,1370
13336,4672,1188,23,3285
55017,16574,3381,3,2516
30599,13542,3662,17,3549
12967,4713,991,5,1464
36800,6078,1289,28,4100
24271,3112,856,12,2183
58025,20713,3742,18,4290
10915,1207,153,14,2084
15872,5306,561,21,3080
14881,7084,1778,24,3580
5097,1682,376,11,1772
29617,7560,1820,9,2256
28596,10217,1456,2,1642
22139,6272,798,12,2314
17420,5543,570,3,1308
5348,2548,433,3,1024
14463,3679,801,1,1008
15635,7574,1351,8,1970
9874,4563,855,22,3112
18745,3342,938,28,3748
32993,4214,714,29,4012
145246,20379,4132,8,4184
26227,2813,722,11,2075
28496,3926,703,9,1951
20446,7630,1712,5,1757
3233,415,113,14,1964
21450,4881,1415,28,3900
23393,10244,1325,3,1678
258652,28272,8066,21,7406
18172,7737,1535,5,1722
29778,6335,960,5,1710
21275,3133,600,19,2829
6845,2592,767,27,3474
69066,24282,4820,14,4286
46720,21070,3492,26,4969
48583,19143,4339,4,2776
8871,3738,553,25,3330
89571,19061,2195,13,3868
5421,926,116,10,1612
39610,15853,1991,25,4387
196900,83236,10852,18,9516
8180,4058,518,8,1636
12502,3313,755,8,1666
24334,6054,825,7,1828
13313,5465,924,8,1798
4671,1103,308,14,2032
23589,11141,2170,19,3409
7613,3375,788,29,3723
35369,9606,1291,6,2063
8783,3516,486,1,912
103770,41696,4510,23,6373
10064,1421,190,15,2190
15961,7358,1145,1,1242
49687,15010,2032,25,4450
6432,2769,326,17,2435
27652,6305,782,1,1269
81400,37298,7167,15,5395
4413,1128,159,23,2916
26492,2764,477,2,1150
28563,13200,2649,14,3110
48137,6571,1564,21,3566
6393,1455,156,8,1452
5881,2823,733,8,1573
37121,17827,4021,19,4064
29643,9763,1135,7,2098
28296,9980,2741,19,3456
31146,8701,2472,6,2093
11158,2424,272,6,1359
27785,6431,999,3,1499
29527,10895,2846,7,2324
10782,4323,1079,19,2831
142311,59291,8117,8,6499
35377,14711,2087,10,2798
6692,913,158,20,2628
42470,12646,2490,15,3306
8310,1022,228,15,2157
48391,15476,2689,29,4926
70164,19408,3736,1,2645
9694,4411,1100,20,2927
57720,13873,1489,7,2619
33282,4886,735,27,3850
50114,7877,1911,4,1986
146795,59393,16573,29,9494
17233,5984,1210,6,1692
10365,1455,300,25,3206
9049,1209,146,1,765
9741,3705,702,29,3752
20392,2632,543,5,1389
30981,13282,1972,27,4371
29047,11110,1709,23,3816
50371,6676,1171,1,1554
22314,2988,310,4,1303
94233,46612,7663,22,6739
16904,4221,600,2,1140
334425,83023,13740,10,10369
41178,17505,2169,5,2503
9347,4476,1244,27,3641
7548,3731,816,10,1843
35684,14321,3377,1,2010
17615,4412,1137,22,3210
44981,6000,1198,6,1969
35356,14526,1705,13,3050
20479,6622,1373,15,2673
9444,2546,553,4,1177
4842,2239,557,13,2016
14093,2036,379,24,3180
51864,15406,1933,20,3982
27285,2852,447,24,3360
6337,1821,314,15,2185
26191,3208,735,29,3895
32380,4776,1022,8,1964
9101,1337,228,5,1180
25686,9238,2746,29,4393
23346,9301,2056,15,2904
7023,2341,345,4,1121
